MASV1,LA1003,MI1003,PE1003,CH1003,MT1003,PH1003,LA1005,PE1005,MT1005,MT1007,LA1007,MT1009,LA1009,MT2001,PE1007,SP1007,SP1003,SP1005,SP1009
60761049.0,5.5,,,,,,,,,,,,,,,,,,
60762423.0,10.0,,7.0,7.0,7.0,5.5,10.0,8.0,,7.0,7.5,,5.0,,,,8.0,,
60769648.0,,,,,,,,,,6.0,,,,,,,,,
60781402.0,,,,,23.0,23.0,,,,,,,,,,,,,
60788946.0,,,7.0,,,,,5.0,,,,8.0,,6.5,,,,,
60792531.0,0.0,,7.0,4.5,0.0,4.5,,13.0,0.0,4.5,,,,,,,,,
60793125.0,,,5.0,,,,,5.0,5.5,,,5.5,,5.0,6.0,,6.0,,
60794702.0,5.0,DT,5.0,6.5,5.5,6.0,6.0,7.0,5.5,6,5.5,,13.0,6.5,5.0,,8.5,7.0,5.0
60801782.0,,,,,,,,,,,,,,13.0,,,,,
60803495.0,,,6.0,3.0,,0.0,,5.0,,13.0,,,,,,,,,
60807808.0,3.0,,7.0,6.5,2.0,7.5,,8.0,1.5,7.5,,5.5,,2.0,7.0,4.5,6.0,7.0,
60809225.0,,,13.0,,,,,,,13.0,,,,,,,,,
60811781.0,,DT,5.0,5.5,6.0,4.5,,6.0,13.0,VT,,,,,9.0,6.5,5.0,5.0,
60814596.0,7.0,,7.0,,4.5,4.5,7.5,7.0,,5.0,7.5,,7.5,,6.0,,6.0,6.0,
60821044.0,8.5,DT,7.0,5.5,1.5,6.0,10.0,6.0,5.0,5,10.0,7.5,9.0,13.0,7.0,6.5,6.5,5.5,5.5
60827390.0,7.5,,6.0,7.5,8.5,7.5,7.0,6.0,,9.5,8.0,9.0,7.5,8.0,6.0,8.5,12.0,8.0,8.0
60830469.0,10.0,DT,6,5.5,5,7.5,8.5,5.0,5,6,6.0,7.0,1.5,6.0,5.0,,5.5,5.0,1.5
60830684.0,,,5.0,5.5,6.0,6.5,,7.0,,5.5,,,,,6.0,6.5,7.5,8.0,6.0
60841684.0,,,,2.0,,,,,,,,,,13.0,,,,,
60846301.0,6.0,,5.0,5.5,2.0,6.5,,6.0,5.0,6.5,,7.0,,,,6.5,,,
60846703.0,,,,,2.5,,,,23.0,23.0,,,,1.0,,,,,
60848575.0,7.5,,8.0,6.5,6.0,7.5,,8.0,7.5,8.0,,6.5,,,,,,,
